order_item_id,order_id,product_id,quantity
1,1001,101,2
2,1001,111,1
3,1002,103,1
4,1002,112,2
5,1003,104,1
6,1003,113,1
7,1004,105,1
8,1004,114,2
9,1005,106,1
10,1005,115,1
11,1006,107,3
12,1006,116,1
13,1007,108,1
14,1007,117,2
15,1008,109,1
16,1008,118,1
17,1009,110,2
18,1009,119,1
19,1010,101,1
20,1010,120,2
21,1011,102,1
22,1011,121,1
23,1012,103,2
24,1012,122,1
25,1013,104,1
26,1013,123,1
27,1014,105,1
28,1014,124,1
29,1015,106,2
30,1015,125,1
31,1016,107,1
32,1016,126,2
33,1017,108,1
34,1017,127,1
35,1018,109,1
36,1018,128,1
37,1019,110,1
38,1019,129,2
39,1020,111,1
40,1020,130,1
41,1021,112,1
42,1021,131,2
43,1022,113,1
44,1022,132,1
45,1023,114,1
46,1023,133,1
47,1024,115,1
48,1024,134,2
49,1025,116,1
50,1025,135,3
